F,G,P
1.87068000000e01,1.00140614669e00,-3.23681929149e-03
1.89671000000e01,1.00140841295e00,-2.89812381379e-03
1.92309000000e01,1.00140397579e00,-2.05611600541e-03
1.94984000000e01,1.00140031822e00,-2.17762845568e-03
1.97697000000e01,1.00141273564e00,-2.55290931091e-03
2.00447000000e01,1.00140308047e00,-2.14429129846e-03
2.03236000000e01,1.00138742838e00,-2.02601146884e-03
2.06063000000e01,1.00140250471e00,-1.56455510296e-03
2.08930000000e01,1.00140619142e00,-3.08248796500e-03
2.11836000000e01,1.00141588261e00,-2.33388249762e-03
2.14783000000e01,1.00140513931e00,-1.72581186052e-03
2.17771000000e01,1.00140486314e00,-2.28225556202e-03
2.20800000000e01,1.00141409659e00,-3.11713642441e-03
2.23872000000e01,1.00140205773e00,-1.35943549685e-03
2.26986000000e01,1.00140212216e00,-2.27539264597e-03
2.30144000000e01,1.00139866663e00,-2.99230474047e-03
2.33346000000e01,1.00139641056e00,-1.87269179150e-03
2.36592000000e01,1.00140657663e00,-2.46632448398e-03
2.39883000000e01,1.00140260861e00,-2.53701792099e-03
2.43220000000e01,1.00139712725e00,-2.20027565956e-03
2.46604000000e01,1.00140753331e00,-2.46171350591e-03
2.50035000000e01,1.00137960485e00,-2.65872641467e-03
2.53513000000e01,1.00140281631e00,-2.83474172466e-03
2.57040000000e01,1.00140913836e00,-2.41637043655e-03
2.60615000000e01,1.00140961992e00,-2.59152264334e-03
2.64241000000e01,1.00140304632e00,-2.60749901645e-03
2.67917000000e01,1.00140543060e00,-3.05169005878e-03
2.71644000000e01,1.00140218926e00,-2.87897675298e-03
2.75423000000e01,1.00142676686e00,-3.75396106392e-03
2.79254000000e01,1.00138959554e00,-2.74721556343e-03
2.83139000000e01,1.00140103859e00,-3.39076668024e-03
2.87078000000e01,1.00140304069e00,-3.40384268202e-03
2.91072000000e01,1.00141348101e00,-4.54836199060e-03
2.95121000000e01,1.00141189190e00,-2.87316855974e-03
2.99226000000e01,1.00140500256e00,-3.66666563787e-03
3.03389000000e01,1.00140047016e00,-1.93361472338e-03
3.07610000000e01,1.00139392242e00,-2.48533999547e-03
3.11889000000e01,1.00139784975e00,-2.40538548678e-03
3.16228000000e01,1.00142451155e00,-2.51972768456e-03
3.20627000000e01,1.00142607376e00,-2.39302008413e-03
3.25087000000e01,1.00138732202e00,-2.40782112814e-03
3.29610000000e01,1.00138246339e00,-2.43461434729e-03
3.34195000000e01,1.00137179915e00,-2.52305436879e-03
3.38844000000e01,1.00141349324e00,-3.16892494448e-03
3.43558000000e01,1.00141198480e00,-2.79771094210e-03
3.48337000000e01,1.00139496320e00,-2.81210755929e-03
3.53183000000e01,1.00141411410e00,-2.31679133140e-03
3.58096000000e01,1.00140108393e00,-3.41744069010e-03
3.63078000000e01,1.00140126042e00,-3.00751137547e-03
3.68129000000e01,1.00141419042e00,-2.20092432573e-03
3.73250000000e01,1.00141412375e00,-3.84857901372e-03
3.78443000000e01,1.00141670982e00,-3.15338233486e-03
3.83707000000e01,1.00142492093e00,-3.64227336831e-03
3.89045000000e01,1.00138735910e00,-2.63505172916e-03
3.94457000000e01,1.00141335313e00,-2.38985824399e-03
3.99945000000e01,1.00140026107e00,-3.22656589560e-03
4.05509000000e01,1.00139887751e00,-1.44846737385e-03
4.11150000000e01,1.00141570853e00,-3.02948802710e-03
4.16869000000e01,1.00141112756e00,-3.46481893212e-03
4.22669000000e01,1.00139729056e00,-2.36513745040e-03
4.28549000000e01,1.00139357800e00,-2.45780521072e-03
4.34510000000e01,1.00140194494e00,-2.44310987182e-03
4.40555000000e01,1.00139475401e00,-4.00784937665e-03
4.46684000000e01,1.00140221619e00,-3.57583863661e-03
4.52898000000e01,1.00138637836e00,-3.03000886925e-03
4.59198000000e01,1.00139473232e00,-3.68648441508e-03
4.65586000000e01,1.00137984484e00,-3.45444283448e-03
4.72063000000e01,1.00140974769e00,-2.85802222788e-03
4.78630000000e01,1.00140755217e00,-2.98255006783e-03
4.85289000000e01,1.00137419586e00,-4.40565403551e-03
4.92040000000e01,1.00136767396e00,-3.57498205267e-03
4.98884000000e01,1.00139234818e00,-3.53087042458e-03
5.05825000000e01,1.00138412969e00,-3.77825601026e-03
5.12861000000e01,1.00141437760e00,-3.24327894486e-03
5.19996000000e01,1.00139451901e00,-2.37478711642e-03
5.27230000000e01,1.00139008184e00,-3.61067941412e-03
5.34564000000e01,1.00139128957e00,-4.93037840351e-03
5.42001000000e01,1.00139965028e00,-3.35909216665e-03
5.49541000000e01,1.00141729544e00,-4.43549128249e-03
5.57186000000e01,1.00136960946e00,-3.20915272459e-03
5.64937000000e01,1.00141388752e00,-3.17135662772e-03
5.72796000000e01,1.00137881682e00,-2.91105895303e-03
5.80764000000e01,1.00140923459e00,-3.97135689855e-03
5.88844000000e01,1.00140684597e00,-2.77058221400e-03
5.97035000000e01,1.00141853262e00,-4.71516093239e-03
6.05341000000e01,1.00141615615e00,-3.95968183875e-03
6.13762000000e01,1.00142630399e00,-2.79149156995e-03
6.22300000000e01,1.00139966485e00,-3.39809572324e-03
6.30957000000e01,1.00139185023e00,-3.07700363919e-03
6.39735000000e01,1.00140806514e00,-3.91889223829e-03
6.48634000000e01,1.00141340002e00,-4.35442570597e-03
6.57658000000e01,1.00142991758e00,-4.31442400441e-03
6.66807000000e01,1.00143507937e00,-4.09619510174e-03
6.76083000000e01,1.00143270417e00,-4.02094423771e-03
6.85488000000e01,1.00144463947e00,-4.68383217230e-03
6.95024000000e01,1.00141909645e00,-2.21110531129e-03
7.04693000000e01,1.00141673911e00,-3.54248820804e-03
7.14496000000e01,1.00142302462e00,-4.81205107644e-03
7.24436000000e01,1.00143613892e00,-5.05245383829e-03
7.34514000000e01,1.00143523098e00,-4.71935421228e-03
7.44732000000e01,1.00144034183e00,-4.49082581326e-03
7.55092000000e01,1.00141937047e00,-4.20125899836e-03
7.65597000000e01,1.00141696701e00,-4.71546733752e-03
7.76247000000e01,1.00141363962e00,-4.12243604660e-03
7.87046000000e01,1.00144325444e00,-5.09134260938e-03
7.97995000000e01,1.00140465218e00,-4.01513883844e-03
8.09096000000e01,1.00140859884e00,-5.04807848483e-03
8.20352000000e01,1.00141916380e00,-4.33849403635e-03
8.31764000000e01,1.00142149566e00,-6.45554903895e-03
8.43335000000e01,1.00142196510e00,-4.63628815487e-03
8.55067000000e01,1.00141701835e00,-4.46783751249e-03
8.66962000000e01,1.00141453403e00,-5.22260554135e-03
8.79023000000e01,1.00140937976e00,-5.10303257033e-03
8.91251000000e01,1.00138681423e00,-5.59739442542e-03
9.03649000000e01,1.00141074187e00,-5.95781765878e-03
9.16220000000e01,1.00138934023e00,-7.28202424943e-03
9.28966000000e01,1.00138377062e00,-6.37179473415e-03
9.41890000000e01,1.00138182258e00,-6.66284374893e-03
9.54993000000e01,1.00138551199e00,-6.66404236108e-03
9.68278000000e01,1.00135456941e00,-5.91630768031e-03
9.81748000000e01,1.00136159261e00,-7.10674934089e-03
9.95405000000e01,1.00133373218e00,-8.16949084401e-03
1.00925300000e02,1.00140642682e00,-5.97535213456e-03
1.02329300000e02,1.00139241579e00,-6.11813040450e-03
1.03752800000e02,1.00140347545e00,-5.49944210798e-03
1.05196200000e02,1.00140817702e00,-5.49238547683e-03
1.06659600000e02,1.00138340212e00,-4.79270378128e-03
1.08143400000e02,1.00138523468e00,-5.81322377548e-03
1.09647800000e02,1.00138040596e00,-4.83447453007e-03
1.11173200000e02,1.00137226226e00,-6.57879514620e-03
1.12719700000e02,1.00139854807e00,-5.62082417309e-03
1.14287800000e02,1.00139289523e00,-5.70606160909e-03
1.15877700000e02,1.00138823111e00,-6.62914477289e-03
1.17489800000e02,1.00137178139e00,-5.52695291117e-03
1.19124200000e02,1.00137926503e00,-4.91021480411e-03
1.20781400000e02,1.00137634358e00,-6.46748067811e-03
1.22461600000e02,1.00137816872e00,-4.47775376961e-03
1.24165200000e02,1.00138097886e00,-6.54584262520e-03
1.25892500000e02,1.00136214613e00,-6.00670929998e-03
1.27643900000e02,1.00137710959e00,-6.55602570623e-03
1.29419600000e02,1.00137692818e00,-6.39823311940e-03
1.31220000000e02,1.00136060567e00,-7.10376910865e-03
1.33045400000e02,1.00137733924e00,-5.90126775205e-03
1.34896300000e02,1.00135530286e00,-7.00966687873e-03
1.36772900000e02,1.00136238277e00,-7.04388646409e-03
1.38675600000e02,1.00135877193e00,-6.74800202250e-03
1.40604800000e02,1.00136807423e00,-6.08590338379e-03
1.42560800000e02,1.00138195321e00,-6.31199404597e-03
1.44544000000e02,1.00137332516e00,-7.39905191585e-03
1.46554800000e02,1.00138602035e00,-7.59743945673e-03
1.48593600000e02,1.00137040287e00,-6.99819996953e-03
1.50660700000e02,1.00135692809e00,-8.78946483135e-03
1.52756600000e02,1.00136316509e00,-8.40242858976e-03
1.54881700000e02,1.00135580161e00,-8.08269437402e-03
1.57036300000e02,1.00136023783e00,-7.50123197213e-03
1.59220900000e02,1.00137261788e00,-7.04123498872e-03
1.61435900000e02,1.00137032426e00,-7.90763087571e-03
1.63681700000e02,1.00137359999e00,-8.04276391864e-03
1.65958700000e02,1.00136282414e00,-8.71457811445e-03
1.68267400000e02,1.00135616291e00,-6.36720657349e-03
1.70608200000e02,1.00136887878e00,-7.06038391218e-03
1.72981600000e02,1.00135276977e00,-8.20882152766e-03
1.75388100000e02,1.00134306745e00,-7.93353468180e-03
1.77827900000e02,1.00136094967e00,-8.66591837257e-03
1.80301800000e02,1.00134029802e00,-8.60068667680e-03
1.82810000000e02,1.00135849664e00,-8.24858620763e-03
1.85353200000e02,1.00137679280e00,-8.74574389309e-03
1.87931700000e02,1.00137636798e00,-8.33959877491e-03
1.90546100000e02,1.00135276825e00,-8.50766617805e-03
1.93196800000e02,1.00134999887e00,-8.70774872601e-03
1.95884500000e02,1.00136714070e00,-1.04353111237e-02
1.98609500000e02,1.00138186798e00,-9.54610388726e-03
2.01372400000e02,1.00137046188e00,-1.06812538579e-02
2.04173800000e02,1.00136552185e00,-1.01981014013e-02
2.07014100000e02,1.00136468790e00,-9.68724396080e-03
2.09894000000e02,1.00136175343e00,-7.63265183195e-03
2.12813900000e02,1.00135580972e00,-1.01679889485e-02
2.15774400000e02,1.00135986595e00,-9.62111260742e-03
2.18776200000e02,1.00136464347e00,-7.78550142422e-03
2.21819600000e02,1.00137686441e00,-1.04621378705e-02
2.24905500000e02,1.00135711099e00,-9.66084934771e-03
2.28034200000e02,1.00137024571e00,-9.06066969037e-03
2.31206500000e02,1.00135315141e00,-9.93748102337e-03
2.34422900000e02,1.00136161397e00,-1.01861776784e-02
2.37684000000e02,1.00135133471e00,-1.04866549373e-02
2.40990500000e02,1.00135741061e00,-8.92499741167e-03
2.44343100000e02,1.00137178486e00,-1.04968035594e-02
2.47742200000e02,1.00135299767e00,-9.92165133357e-03
2.51188600000e02,1.00133188364e00,-1.14058610052e-02
2.54683000000e02,1.00135196171e00,-1.08807664365e-02
2.58226000000e02,1.00134869001e00,-9.91674140096e-03
2.61818300000e02,1.00134603686e00,-1.13322641701e-02
2.65460600000e02,1.00134650895e00,-9.35366749763e-03
2.69153500000e02,1.00134125550e00,-1.04240542278e-02
2.72897800000e02,1.00132323578e00,-1.09855113551e-02
2.76694200000e02,1.00133273225e00,-9.46049857885e-03
2.80543400000e02,1.00130971370e00,-9.48877353221e-03
2.84446100000e02,1.00131858379e00,-1.07062980533e-02
2.88403200000e02,1.00131828040e00,-1.02188419551e-02
2.92415200000e02,1.00130330649e00,-9.76765342057e-03
2.96483100000e02,1.00129782493e00,-9.42303240299e-03
3.00607600000e02,1.00128835175e00,-9.70671232790e-03
3.04789500000e02,1.00128517705e00,-1.04304598644e-02
3.09029500000e02,1.00127689052e00,-1.04526132345e-02
3.13328600000e02,1.00128604176e00,-1.10534485430e-02
3.17687400000e02,1.00128348637e00,-9.24831163138e-03
3.22106900000e02,1.00126328363e00,-1.05102304369e-02
3.26587800000e02,1.00126387059e00,-1.08553823084e-02
3.31131100000e02,1.00127520440e00,-1.15014072508e-02
3.35737600000e02,1.00127266237e00,-1.08108371496e-02
3.40408200000e02,1.00127019332e00,-1.08363563195e-02
3.45143700000e02,1.00127215669e00,-1.00424392149e-02
3.49945200000e02,1.00126920578e00,-1.14657366648e-02
3.54813400000e02,1.00124428734e00,-1.06369256973e-02
3.59749300000e02,1.00124411121e00,-1.04761617258e-02
3.64753900000e02,1.00125596547e00,-1.20550757274e-02
3.69828200000e02,1.00123975683e00,-1.18318004534e-02
3.74973000000e02,1.00123521448e00,-1.19568724185e-02
3.80189400000e02,1.00125134778e00,-1.10785011202e-02
3.85478400000e02,1.00123274958e00,-1.09656089917e-02
3.90840900000e02,1.00123161035e00,-1.20676690713e-02
3.96278000000e02,1.00124470750e00,-1.07270227745e-02
4.01790800000e02,1.00121268432e00,-1.11174667254e-02
4.07380300000e02,1.00121416208e00,-1.09416106716e-02
4.13047500000e02,1.00122723425e00,-1.07990046963e-02
4.18793600000e02,1.00120615178e00,-1.16928871721e-02
4.24619600000e02,1.00120828086e00,-1.21780382469e-02
4.30526600000e02,1.00119742551e00,-1.21882734820e-02
4.36515800000e02,1.00119691162e00,-1.26462196931e-02
4.42588400000e02,1.00119523925e00,-1.31680956110e-02
4.48745400000e02,1.00122282876e00,-1.26736015081e-02
4.54988100000e02,1.00120115866e00,-1.30293304101e-02
4.61317600000e02,1.00121492494e00,-1.23938983306e-02
4.67735100000e02,1.00122001775e00,-1.26593466848e-02
4.74242000000e02,1.00119245794e00,-1.32494261488e-02
