F,G,P
6.10940000000e00,1.00124594714e00,-1.73338642344e-03
6.19440000000e00,1.00122495166e00,-2.74865608662e-03
6.28060000000e00,1.00123591740e00,-3.06710950099e-03
6.36800000000e00,1.00120455807e00,-1.28559209406e-03
6.45650000000e00,1.00122686875e00,-8.98203288671e-04
6.54640000000e00,1.00122731598e00,-1.77987071220e-03
6.63740000000e00,1.00122349874e00,-2.17792205513e-03
6.72980000000e00,1.00121318874e00,-2.15204525739e-03
6.82340000000e00,1.00121975850e00,-1.98167422786e-03
6.91830000000e00,1.00125257880e00,-2.12861271575e-03
7.01460000000e00,1.00124499644e00,-5.67883835174e-04
7.11210000000e00,1.00120883670e00,-1.74312281888e-03
7.21110000000e00,1.00122717256e00,-9.73896007054e-04
7.31140000000e00,1.00123971193e00,-3.13728977926e-03
7.41310000000e00,1.00123687982e00,-9.39267280046e-04
7.51620000000e00,1.00125384901e00,-4.89821378142e-03
7.62080000000e00,1.00121130504e00,-3.36331408471e-03
7.72680000000e00,1.00123499061e00,-2.98474589363e-03
7.83430000000e00,1.00126798774e00,-3.35010793060e-03
7.94330000000e00,1.00125923895e00,-3.05221951567e-03
8.05380000000e00,1.00126235110e00,-3.30757087795e-04
8.16580000000e00,1.00125043256e00,-3.87861323543e-03
8.27940000000e00,1.00125649741e00,-4.12838626653e-03
8.39460000000e00,1.00124511082e00,-2.05549481325e-03
8.51140000000e00,1.00123781349e00,-2.82920291647e-03
8.62980000000e00,1.00127880322e00,-3.12159210443e-03
8.74980000000e00,1.00122340060e00,-2.04532244243e-03
8.87160000000e00,1.00124638826e00,-5.67027181387e-03
8.99500000000e00,1.00124347917e00,-4.32968745008e-03
9.12010000000e00,1.00125630270e00,-4.01698332280e-03
9.24700000000e00,1.00124089799e00,-3.81770241074e-03
9.37560000000e00,1.00124418141e00,-4.58829291165e-03
9.50600000000e00,1.00125423884e00,-3.41143319383e-03
9.63830000000e00,1.00121890077e00,-4.42615710199e-03
9.77240000000e00,1.00123854950e00,-3.99041781202e-03
9.90830000000e00,1.00122076948e00,-4.17535053566e-03
1.00462000000e01,1.00126330754e00,-3.96904256195e-03
1.01859000000e01,1.00122990409e00,-5.40494034067e-03
1.03276000000e01,1.00122350795e00,-5.36871235818e-03
1.04713000000e01,1.00126008174e00,-5.67043293267e-03
1.06170000000e01,1.00128489683e00,-2.93237040751e-03
1.07647000000e01,1.00122664365e00,-5.41325937957e-03
1.09144000000e01,1.00122007202e00,-4.75463410839e-03
1.10662000000e01,1.00125952759e00,-3.95573070273e-03
1.12202000000e01,1.00125533351e00,-3.32170771435e-03
1.13763000000e01,1.00124880018e00,-3.16860759631e-03
1.15345000000e01,1.00126983082e00,-3.45265143551e-03
1.16950000000e01,1.00124547285e00,-3.55785456486e-03
1.18577000000e01,1.00125320359e00,-5.32841682434e-03
1.20226000000e01,1.00121507614e00,-2.08018068224e-03
1.21899000000e01,1.00122507714e00,-5.85872214288e-03
1.23595000000e01,1.00123016790e00,-4.02541551739e-03
1.25314000000e01,1.00125822668e00,-3.70260141790e-03
1.27057000000e01,1.00124355570e00,-2.69022979774e-03
1.28825000000e01,1.00124897340e00,-5.08198468015e-03
1.30617000000e01,1.00123742072e00,-4.60534403101e-03
1.32434000000e01,1.00122124489e00,-3.74177889898e-03
1.34276000000e01,1.00125947126e00,-5.94635214657e-03
1.36144000000e01,1.00123933688e00,-2.57532671094e-03
1.38038000000e01,1.00123906631e00,-4.21125581488e-03
1.39959000000e01,1.00124670603e00,-3.27993161045e-03
1.41906000000e01,1.00123026989e00,-2.29813111946e-03
1.43880000000e01,1.00123150770e00,-4.60411095992e-03
1.45881000000e01,1.00124412422e00,-4.63190441951e-03
1.47911000000e01,1.00122509663e00,-9.45845094975e-04
1.49968000000e01,1.00120620459e00,-2.83877947368e-03
1.52055000000e01,1.00123044416e00,-5.95315080136e-03
